neuron_number,relu,softmax
4.000000000000000000e+00,8.510000109672546387e-01,4.814999997615814209e-01
4.000000000000000000e+00,8.162999749183654785e-01,3.422999978065490723e-01
4.000000000000000000e+00,8.270000219345092773e-01,5.052000284194946289e-01
6.000000000000000000e+00,9.031000137329101562e-01,6.001999974250793457e-01
6.000000000000000000e+00,8.852000236511230469e-01,5.327000021934509277e-01
6.000000000000000000e+00,8.980000019073486328e-01,6.402000188827514648e-01
8.000000000000000000e+00,9.197999835014343262e-01,6.348999738693237305e-01
8.000000000000000000e+00,9.189000129699707031e-01,6.901000142097473145e-01
8.000000000000000000e+00,9.161999821662902832e-01,5.489000082015991211e-01
1.000000000000000000e+01,9.264000058174133301e-01,8.083000183105468750e-01
1.000000000000000000e+01,9.251999855041503906e-01,6.294000148773193359e-01
1.000000000000000000e+01,9.301999807357788086e-01,6.996999979019165039e-01
1.600000000000000000e+01,9.354000091552734375e-01,8.842999935150146484e-01
1.600000000000000000e+01,9.419000148773193359e-01,8.450000286102294922e-01
1.600000000000000000e+01,9.434000253677368164e-01,7.879999876022338867e-01
3.200000000000000000e+01,9.550999999046325684e-01,8.575000166893005371e-01
3.200000000000000000e+01,9.573000073432922363e-01,9.273999929428100586e-01
3.200000000000000000e+01,9.574999809265136719e-01,7.832999825477600098e-01
6.400000000000000000e+01,9.684000015258789062e-01,7.355999946594238281e-01
6.400000000000000000e+01,9.656999707221984863e-01,9.211999773979187012e-01
6.400000000000000000e+01,9.656999707221984863e-01,8.429999947547912598e-01
1.280000000000000000e+02,9.742000102996826172e-01,7.720999717712402344e-01
1.280000000000000000e+02,9.732999801635742188e-01,8.787000179290771484e-01
1.280000000000000000e+02,9.715999960899353027e-01,9.129999876022338867e-01
2.560000000000000000e+02,9.782000184059143066e-01,9.196000099182128906e-01
2.560000000000000000e+02,9.775000214576721191e-01,8.658000230789184570e-01
2.560000000000000000e+02,9.765999913215637207e-01,7.878000140190124512e-01
5.120000000000000000e+02,9.779000282287597656e-01,9.056000113487243652e-01
5.120000000000000000e+02,9.782000184059143066e-01,8.679000139236450195e-01
5.120000000000000000e+02,9.794999957084655762e-01,9.065999984741210938e-01
